# Constructed from biom file
#OTU ID	A1	A2	A3	B1	B2	B3
823634	0.0	32.0	0.0	18.0	0.0	16.0
235262	0.0	0.0	0.0	0.0	4.0	0.0
197060	0.0	0.0	0.0	0.0	23.0	0.0
333360	2.0	0.0	0.0	0.0	0.0	0.0
308706	0.0	23.0	0.0	9.0	28.0	59.0
366702	0.0	0.0	0.0	7.0	0.0	0.0
188878	11.0	0.0	0.0	8.0	0.0	0.0
330076	0.0	0.0	28.0	56.0	28.0	120.0
300394	0.0	0.0	6.0	0.0	0.0	0.0
195100	0.0	0.0	37.0	19.0	32.0	25.0
297766	0.0	0.0	0.0	12.0	0.0	11.0
304924	0.0	0.0	0.0	0.0	13.0	44.0
265483	0.0	0.0	0.0	7.0	0.0	0.0
513706	15.0	0.0	0.0	0.0	0.0	0.0
586290	0.0	0.0	7.0	0.0	0.0	0.0
232934	0.0	0.0	0.0	0.0	6.0	0.0
74136	0.0	0.0	3.0	0.0	2.0	0.0
3359884	0.0	0.0	0.0	3.0	0.0	0.0
650171	12.0	0.0	0.0	0.0	0.0	0.0
317288	0.0	0.0	35.0	19.0	0.0	50.0
198826	0.0	0.0	0.0	15.0	0.0	41.0
351501	0.0	0.0	6.0	0.0	0.0	0.0
287907	0.0	0.0	0.0	0.0	0.0	12.0
177552	0.0	0.0	0.0	0.0	9.0	0.0
3487876	0.0	19.0	0.0	0.0	13.0	48.0
516159	25.0	3.0	82.0	151.0	31.0	64.0
111282	9.0	0.0	0.0	0.0	0.0	0.0
313816	0.0	23.0	23.0	79.0	27.0	51.0
300041	0.0	0.0	0.0	0.0	0.0	15.0
293471	0.0	13.0	6.0	17.0	6.0	37.0
353057	0.0	0.0	0.0	0.0	0.0	11.0
188789	0.0	0.0	0.0	5.0	0.0	0.0
539202	0.0	18.0	69.0	149.0	38.0	94.0
2424365	78.0	0.0	0.0	0.0	0.0	0.0
289121	14.0	0.0	0.0	0.0	0.0	0.0
4465124	0.0	0.0	0.0	0.0	0.0	5.0
211339	12.0	31.0	0.0	0.0	0.0	0.0
304668	0.0	14.0	13.0	34.0	16.0	0.0
196253	5.0	0.0	37.0	0.0	14.0	39.0
299087	0.0	0.0	0.0	0.0	8.0	0.0
4377150	3.0	0.0	0.0	0.0	0.0	0.0
197248	0.0	7.0	11.0	22.0	0.0	11.0
294066	0.0	0.0	6.0	0.0	0.0	0.0
259911	0.0	0.0	11.0	0.0	0.0	29.0
296134	0.0	22.0	32.0	56.0	33.0	58.0
1121634	5.0	0.0	0.0	0.0	0.0	0.0
3262505	0.0	11.0	0.0	0.0	0.0	4.0
624257	0.0	0.0	0.0	0.0	0.0	6.0
565730	0.0	0.0	0.0	3.0	0.0	0.0
352192	0.0	26.0	0.0	0.0	24.0	9.0
329360	0.0	16.0	76.0	194.0	32.0	196.0
